5A8	Aleknagik / New Airport
LFXA	AmbÃ©rieu Air Base (BA 278)
LGAD	Andravida Air Base
LGAL	Dimokritos Airport
LGAV	Eleftherios Venizelos International Airport
LGBL	Nea Anchialos Airport
LGEL	Elefsis Airport
LGHI	Chios Island National Airport
LGIO	Ioannina Airport
LGIR	Heraklion International Nikos Kazantzakis Airport
LGKF	Kefallinia Airport
LGKL	Kalamata Airport
LGKO	Kos Airport
LGKP	Karpathos Airport
LGKR	Ioannis Kapodistrias International Airport
LGKV	Alexander the Great International Airport
LGKZ	Filippos Airport
LGMK	Mikonos Airport
LGMT	Mytilene International Airport
LGPZ	Aktion National Airport
LGRP	Diagoras Airport
LGRX	Araxos Airport
LGSA	Chania International Airport
LGSK	Skiathos Island National Airport
LGSM	Samos Airport
LGSR	Santorini Airport
LGST	Sitia Airport
LGTG	Tanagra Air Base
LGTS	Thessaloniki Macedonia International Airport
LGZA	Zakynthos International Airport "Dionysios Solomos"
LHBP	Budapest Liszt Ferenc International Airport
LHDC	Debrecen International Airport
LHKE	KecskemÃ©t Airport
LHPP	PÃ©cs-PogÃ¡ny Airport
LHPR	GyÅ‘r-PÃ©r International Airport
LHSM	SÃ¡rmellÃ©k International Airport
LHSN	Szolnok Air Base
LHTA	TaszÃ¡r Air Base
LHTL	TÃ¶kÃ¶l Airport
LIBA	Amendola Air Base
LIBC	Crotone Airport
LIBD	Bari Karol WojtyÅ‚a Airport
LIBF	Foggia "Gino Lisa" Airport
LIBG	Taranto-Grottaglie "Marcello Arlotta" Airport
LIBN	Lecce Galatina Air Base
LIBP	Pescara International Airport
LIBR	Brindisi â€“ Salento Airport
LIBV	Gioia Del Colle Air Base
LICA	Lamezia Terme Airport
LICB	Comiso Airport
LICC	Catania-Fontanarossa Airport
LICD	Lampedusa Airport
LICG	Pantelleria Airport
LICJ	Falconeâ€“Borsellino Airport
LICP	Palermo-Boccadifalco Airport
LICR	Reggio Calabria Airport
LICT	Vincenzo Florio Airport Trapani-Birgi
LICZ	Sigonella Navy Air Base
LIDT	Trento-Mattarello Airport
LIEA	Alghero-Fertilia Airport
LIED	Decimomannu Air Base
LIEE	Cagliari Elmas Airport
LIEO	Olbia Costa Smeralda Airport
LIET	TortolÃ¬ Airport
LILA	Alessandria Airport
LILE	Biella-Cerrione Airport
LILI	Vercelli Airport
LILM	Casale Monferrato Airport
LILN	Varese-Venegono Airport
LIMA	Torino-Aeritalia Airport
LIMC	Malpensa International Airport
LIME	Il Caravaggio International Airport
LIMF	Turin Airport
LIMG	Villanova D'Albenga International Airport
LIMJ	Genoa Cristoforo Colombo Airport
LIML	Milano Linate Airport
LIMN	Cameri Air Base [MIL]
LIMP	Parma Airport
LIMR	Novi Ligure Airport
LIMS	Piacenza San Damiano Air Base
LIMW	Aosta Airport
LIMZ	Cuneo International Airport
LIPA	Aviano Air Base
LIPB	Bolzano Airport
LIPC	Cervia Air Base
LIPE	Bologna Guglielmo Marconi Airport
LIPH	Treviso-Sant'Angelo Airport
LIPI	Rivolto Air Base
LIPK	ForlÃ¬ Airport
LIPL	Ghedi Air Base
LIPO	Brescia Airport
LIPQ	Triesteâ€“Friuli Venezia Giulia Airport
LIPR	Federico Fellini International Airport
LIPS	Istrana Air Base
LIPU	Padova Airport
LIPX	Verona Villafranca Airport
LIPY	Ancona Falconara Airport
LIPZ	Venice Marco Polo Airport
LIQS	Siena-Ampugnano Airport
LIQW	Sarzana-Luni Air Base
LIRA	Ciampinoâ€“G. B. Pastine International Airport
LIRE	Pratica Di Mare Air Base
LIRF	Leonardo da Vinciâ€“Fiumicino Airport
LIRG	Guidonia Air Base
LIRI	Salerno Costa d'Amalfi Airport
LIRJ	Marina Di Campo Airport
LIRL	Latina Air Base
LIRM	Grazzanise Air Base
LIRN	Naples International Airport
LIRP	Pisa International Airport
LIRQ	Peretola Airport
LIRS	Grosseto Air Base
LIRU	Urbe Airport
LIRV	Viterbo Airport
LIRZ	Perugia San Francesco d'Assisi â€“ Umbria International Airport
LJCE	Cerklje Airport
LJLJ	Ljubljana JoÅ¾e PuÄnik Airport
LJMB	Maribor Airport
LJPZ	Portoroz Airport
LKCV	ÄŒÃ¡slav Air Base
LKKB	Kbely Air Base
LKKU	Kunovice Airport
LKKV	Karlovy Vary International Airport
LKLN	PlzeÅˆ-LÃ­nÄ› Airport
LKMT	Ostrava Leos JanÃ¡Äek Airport
LKNA	NÃ¡mÄ›Å¡Å¥ Air Base
LKPD	Pardubice Airport
LKPO	PÅ™erov Air Base
LKPR	VÃ¡clav Havel Airport Prague
LKTB	Brno-TuÅ™any Airport
LKVO	Vodochody Airport
LLBG	Ben Gurion International Airport
LLEK	Tel Nof Air Base
LLER	Ramon Airport
LLHA	Haifa International Airport
LLIB	Ben Ya'akov Airport
LLMZ	Bar Yehuda Airfield
LLNV	Nevatim Air Base
LLOV	Ovda International Airport
LLRD	Ramat David Air Base
LLRM	Ramon Air Base
LLSD	Sde Dov Airport
LMML	Malta International Airport
LOAN	Wiener Neustadt East Airport
LOWG	Graz Airport
LOWI	Innsbruck Airport
LOWK	Klagenfurt Airport
LOWL	Linz HÃ¶rsching Airport
LOWS	Salzburg Airport
LOWW	Vienna International Airport
LOXZ	Hinterstoisser Air Base
LPAR	Alverca Air Base
LPAZ	Santa Maria Airport
LPBG	BraganÃ§a Airport
LPBJ	Beja Airport / Airbase
LPBR	Braga Municipal Aerodrome
LPCB	Aerodromo de Castelo Branco
LPCO	Aerodromo Municipal de Coimbra
LPCS	Cascais Airport
LPEV	Ã‰vora Airport
LPFL	Flores Airport
LPFR	Faro Airport
LPGR	Graciosa Airport
LPHR	Horta Airport
LPLA	Lajes Airport
LPMA	Madeira Airport
LPMR	Monte Real Air Base
LPMT	Montijo Air Base
LPOT	Ota Air Base
LPOV	Ovar Air Base
LPPD	JoÃ£o Paulo II Airport
LPPI	Pico Airport
LPPM	PortimÃ£o Airport
LPPR	Francisco de SÃ¡ Carneiro Airport
LPPS	Porto Santo Airport
LPPT	Humberto Delgado Airport (Lisbon Portela Airport)
LPSJ	SÃ£o Jorge Airport
LPSO	Ponte de Sor Airport
LPST	Sintra Air Base
LPTN	Tancos Airbase
LPVL	Vilar de Luz Airfield
LPVR	Vila Real Airport
LPVZ	Aerodromo Goncalves Lobato (Viseu Airport)
LQBK	Banja Luka International Airport
LQMO	Mostar International Airport
LQSA	Sarajevo International Airport
LQTZ	Tuzla International Airport
LR79	Ianca Air Base
LR80	FeteÅŸti Air Base
LR82	Boboc Air Base
LRAR	Arad International Airport
LRBC	BacÄƒu Airport
LRBM	MaramureÈ™ International Airport
LRBS	BÄƒneasa International Airport
LRCK	Mihail KogÄƒlniceanu International Airport
LRCL	Cluj-Napoca International Airport
LRCS	CaransebeÅŸ Airport
LRCT	CÃ¢mpia Turzii Air Base
LRCV	Craiova Airport
LRIA	IaÅŸi Airport
LROD	Oradea International Airport
LROP	Henri CoandÄƒ International Airport
LRSB	Sibiu International Airport
LRSM	Satu Mare Airport
LRSV	Suceava Stefan cel Mare Airport
LRTC	Tulcea Airport
LRTM	Transilvania TÃ¢rgu MureÅŸ International Airport
LRTR	TimiÅŸoara Traian Vuia Airport
LSGC	Les Eplatures Airport
LSGG	Geneva Cointrin International Airport
LSGS	Sion Airport
LSMA	Alpnach Air Base
LSMD	DÃ¼bendorf Air Base
LSME	Emmen Air Base
LSMF	Mollis Airport
LSMP	Payerne Air Base
LSZA	Lugano Airport
LSZB	Bern Belp Airport
LSZG	Grenchen Airport
LSZH	ZÃ¼rich Airport
LSZR	St Gallen Altenrhein Airport
LSZS	Samedan Airport
LTAC	EsenboÄŸa International Airport
LTAD	Etimesgut Air Base
LTAE	AkÄ±ncÄ± Air Base
LTAF	Adana Airport
LTAG	Ä°ncirlik Air Base
LTAH	Afyon Airport
LTAI	Antalya International Airport
LTAJ	Gaziantep International Airport
LTAN	Konya Airport
LTAT	Malatya ErhaÃ§ Airport
LTAU	Kayseri Erkilet Airport
LTAV	Sivrihisar Airport
LTAW	Tokat Airport
LTAY	Ã‡ardak Airport
LTBA	AtatÃ¼rk International Airport
LTBF	BalÄ±kesir Merkez Airport
LTBG	BandÄ±rma Airport
LTBH	Ã‡anakkale Airport
LTBI	EskiÅŸehir Air Base
LTBJ	Adnan Menderes International Airport
LTBL	Ã‡iÄŸli Airport
LTBQ	Cengiz Topel Airport
LTBR	Bursa YeniÅŸehir Airport
LTBS	Dalaman International Airport
LTBT	Akhisar Airport
LTBU	TekirdaÄŸ Ã‡orlu Airport
LTBX	SamandÄ±ra Air Base
LTBY	Anadolu Airport
LTCA	ElazÄ±ÄŸ Airport
LTCC	Diyarbakir Airport
LTCD	Erzincan Airport
LTCE	Erzurum International Airport
LTCF	Kars Airport
LTCG	Trabzon International Airport
LTCH	ÅžanlÄ±urfa Airport
LTCI	Van Ferit Melen Airport
LTCJ	Batman Airport
LTCK	MuÅŸ Airport
LTCL	Siirt Airport
LTCN	KahramanmaraÅŸ Airport
LTCO	AÄŸrÄ± Airport
LTCP	AdÄ±yaman Airport
LTCR	Mardin Airport
LTCS	ÅžanlÄ±urfa GAP Airport
LTCV	ÅžÄ±rnak Åžerafettin ElÃ§i Airport
LTCW	Hakkari YÃ¼ksekova Airport
LTDA	Hatay Airport
LTFC	SÃ¼leyman Demirel International Airport
LTFD	BalÄ±kesir KÃ¶rfez Airport
LTFE	Milas Bodrum International Airport
LTFJ	Sabiha GÃ¶kÃ§en International Airport
LTGP	GazipaÅŸa Airport
LUBL	BÄƒlÈ›i International Airport
LUBM	MÄƒrculeÅŸti International Airport
LUCH	Cahul International Airport
LUKK	ChiÅŸinÄƒu International Airport
LUTR	Tiraspol Airport
LUZ	Lublin Airport
LWOH	Ohrid St. Paul the Apostle Airport
LWSK	Skopje Alexander the Great Airport
LXGB	Gibraltar Airport
LY-BCQ	Brak Airport
LYBE	Belgrade Nikola Tesla Airport
LYBT	Batajnica Air Base
LYNI	Nis Airport
LYPG	Podgorica Airport
LYTV	Tivat Airport
LZIB	M. R. Å tefÃ¡nik Airport
LZKZ	KoÅ¡ice Airport
LZMC	KuchyÅˆa Air Base
LZPP	PieÅ¡Å¥any Airport
LZSL	SliaÄ Airport
LZTN	TrenÄÃ­n Airport
LZTT	Poprad-Tatry Airport
LZZI	Å½ilina Airport
MBGT	JAGS McCartney International Airport
MBNC	North Caicos Airport
MBPV	Providenciales Airport
MBSC	South Caicos Airport
MDBH	Maria Montez International Airport
MDCR	Cabo Rojo Airport
MDCY	SamanÃ¡ El Catey International Airport
MDJB	La Isabela International Airport
MDLR	Casa De Campo International Airport
MDPC	Punta Cana International Airport
MDPP	Gregorio Luperon International Airport
MDSD	Las AmÃ©ricas International Airport
MDSI	San Isidro Air Base
MDST	Cibao International Airport
MGCB	Coban Airport
MGGT	La Aurora Airport
MGPB	Puerto Barrios Airport
MGRB	Rubelsanto Airport
MGRT	Retalhuleu Airport
MGSJ	San JosÃ© Airport
MGTK	Mundo Maya International Airport
MHLC	Goloson International Airport
MHLM	RamÃ³n Villeda Morales International Airport
MHNJ	La Laguna Airport
MHRO	Juan Manuel Galvez International Airport
MHSC	Coronel Enrique Soto Cano Air Base
MHTE	Tela Airport
MHTG	ToncontÃ­n International Airport
MHTJ	Trujillo Airport
MKBS	Boscobel Aerodrome
MKJP	Norman Manley International Airport
MKJS	Sangster International Airport
MKKJ	Ken Jones Airport
MKTP	Tinson Pen Airport
MMAA	General Juan N Alvarez International Airport
MMAN	Del Norte International Airport
MMAS	JesÃºs TerÃ¡n Paredo International Airport
MMBT	BahÃ­as de Huatulco International Airport
MMCB	General Mariano Matamoros Airport
MMCE	Ciudad del Carmen International Airport
MMCL	Bachigualato Federal International Airport
MMCM	Chetumal International Airport
MMCN	Ciudad ObregÃ³n International Airport
MMCP	Ingeniero Alberto AcuÃ±a Ongay International Airport
MMCS	Abraham GonzÃ¡lez International Airport
MMCT	Chichen Itza International Airport
MMCU	General Roberto Fierro Villalobos International Airport
MMCV	General Pedro Jose Mendez International Airport
MMCY	Captain Rogelio Castillo National Airport
MMCZ	Cozumel International Airport
MMDA	Ciudad ConstituciÃ³n Airport
MMDO	General Guadalupe Victoria International Airport
MMEP	Amado Nervo National Airport
MMGL	Don Miguel Hidalgo Y Costilla International Airport
MMGM	General JosÃ© MarÃ­a YÃ¡Ã±ez International Airport
MMHO	General Ignacio P. Garcia International Airport
MMIA	Licenciado Miguel de la Madrid Airport
MMIO	Plan De Guadalupe International Airport
MMIT	Ixtepec Airport
MMJA	El Lencero Airport
MMLC	LÃ¡zaro CÃ¡rdenas Airport
MMLM	Valle del Fuerte International Airport
MMLO	Del BajÃ­o International Airport
MMLP	Manuel MÃ¡rquez de LeÃ³n International Airport
MMLT	Loreto International Airport
MMMA	General Servando Canales International Airport
MMMD	Licenciado Manuel Crescencio Rejon Int Airport
MMML	General Rodolfo SÃ¡nchez Taboada International Airport
MMMM	General Francisco J. Mujica International Airport
MMMT	MinatitlÃ¡n/Coatzacoalcos National Airport
MMMV	Monclova International Airport
MMMX	Licenciado Benito Juarez International Airport
MMMY	General Mariano Escobedo International Airport
MMMZ	General Rafael Buelna International Airport
MMNL	QuetzalcÃ³atl International Airport
MMOX	XoxocotlÃ¡n International Airport
MMPA	El TajÃ­n National Airport
MMPB	Hermanos SerdÃ¡n International Airport
MMPG	Piedras Negras International Airport
MMPN	Licenciado y General Ignacio Lopez Rayon Airport
MMPR	Licenciado Gustavo DÃ­az Ordaz International Airport
MMPS	Puerto Escondido International Airport
MMQT	QuerÃ©taro Intercontinental Airport
MMRX	General Lucio Blanco International Airport
MMSD	Los Cabos International Airport
MMSL	Cabo San Lucas International Airport
MMSP	Ponciano Arriaga International Airport
MMTB	TerÃ¡n Air Base
MMTC	Francisco Sarabia International Airport
MMTG	Angel Albino Corzo International Airport
MMTJ	General Abelardo L. RodrÃ­guez International Airport
MMTM	General Francisco Javier Mina International Airport
MMTO	Licenciado Adolfo Lopez Mateos International Airport
MMTP	Tapachula International Airport
MMUN	CancÃºn International Airport
MMVA	Carlos Rovirosa PÃ©rez International Airport
MMVR	General Heriberto Jara International Airport
MMZC	General Leobardo C. Ruiz International Airport
MMZH	Ixtapa Zihuatanejo International Airport
MMZO	Playa De Oro International Airport
MNBL	Bluefields Airport
MNMG	Augusto C. Sandino (Managua) International Airport
MNPC	Puerto Cabezas Airport
MPBO	Bocas Del Toro International Airport
MPCE	Alonso Valderrama Airport
MPCH	Cap Manuel NiÃ±o International Airport
MPDA	Enrique Malek International Airport
MPEJ	Enrique Adolfo Jimenez Airport
MPMG	Marcos A. Gelabert International Airport
MPSA	Ruben Cantu Airport
MPTO	Tocumen International Airport
MRAO	Aerotortuguero Airport
MRBA	Buenos Aires Airport
MRBC	Barra del Colorado Airport
MRCC	Coto 47 Airport
MRGF	Golfito Airport
MRGP	Guapiles Airport
MRLB	Daniel Oduber Quiros International Airport
MRLC	Los Chiles Airport
MRLM	Limon International Airport
MRNS	Nosara Airport
MROC	Juan Santamaria International Airport
MRPJ	Puerto Jimenez Airport
MRPM	Palmar Sur Airport
MRPV	Tobias Bolanos International Airport
MRQP	Quepos Managua Airport
MRSV	San Vito De Java Airport
MRUP	Upala Airport
MSLP	MonseÃ±or Ã“scar Arnulfo Romero International Airport
MSSS	Ilopango International Airport
MTCA	Les Cayes Airport
MTCH	Cap Haitien International Airport
MTJA	Jacmel Airport
MTJE	JÃ©rÃ©mie Airport
MTPP	Toussaint Louverture International Airport
MTPX	Port-de-Paix Airport
MUBA	Gustavo Rizo Airport
MUBY	Carlos Manuel de Cespedes Airport
MUCA	Maximo Gomez Airport
MUCC	Jardines Del Rey Airport
MUCF	Jaime Gonzalez Airport
MUCL	Vilo AcuÃ±a International Airport
MUCM	Ignacio Agramonte International Airport
MUCU	Antonio Maceo International Airport
MUGM	Leeward Point Field
MUGT	Mariana Grajales Airport
MUHA	JosÃ© MartÃ­ International Airport
MUHG	Frank Pais International Airport
MUKW	Kawama Airport
MULM	La Coloma Airport
MUMO	Orestes Acosta Airport
MUMZ	Sierra Maestra Airport
MUNB	San Nicolas De Bari Airport
MUNG	Rafael Cabrera Airport
MUPB	Playa Baracoa Airport
MUPR	Pinar Del Rio Airport
MUSC	Abel Santamaria Airport
MUSJ	San Julian Air Base
MUSN	Siguanea Airport
MUTD	Alberto Delgado Airport
MUVR	Juan Gualberto Gomez International Airport
MUVT	Hermanos Ameijeiras Airport
MWCB	Gerrard Smith International Airport
MWCL	Edward Bodden Airfield
MWCR	Owen Roberts International Airport
MYAB	Clarence A. Bain Airport
MYAF	Andros Town Airport
MYAK	Congo Town Airport
MYAM	Leonard M Thompson International Airport
MYAN	San Andros Airport
MYAP	Spring Point Airport
MYAT	Treasure Cay Airport
MYBC	Chub Cay Airport
MYBG	Great Harbour Cay Airport
MYBS	South Bimini Airport
MYCA	Arthur's Town Airport
MYCB	New Bight Airport
MYCI	Colonel Hill Airport
MYEF	Exuma International Airport
MYEG	George Town Airport
MYEH	North Eleuthera Airport
MYEM	Governor's Harbour Airport
MYEN	Normans Cay Airport
MYER	Rock Sound Airport
MYES	Staniel Cay Airport
MYGF	Grand Bahama International Airport
MYIG	Inagua Airport
MYLD	Deadman's Cay Airport
MYLR	Hard Bargain Airport
MYLS	Stella Maris Airport
MYMM	Mayaguana Airport
MYNN	Lynden Pindling International Airport
MYRD	Duncan Town Airport
MYSM	San Salvador Airport
MZBZ	Philip S. W. Goldson International Airport
NBS	Changbaishan Airport
NCRG	Rarotonga International Airport
NFFN	Nadi International Airport
NFNA	Nausori International Airport
NFNL	Labasa Airport
NFTF	Fua'amotu International Airport
NFTL	Lifuka Island Airport
NFTV	Vava'u International Airport
NG-0003	Gombe Lawanti International Airport
NG-QRW	Warri Airport
NGFU	Funafuti International Airport
NGTA	Bonriki International Airport
NGTE	Tabiteuea North Airport
NIUE	Niue International Airport
NLH	Ninglang Luguhu Airport
NLWF	Pointe Vele Airport
NLWW	Hihifo Airport
NSFA	Faleolo International Airport
NSFQ	Fitiuta Airport
NSTU	Pago Pago International Airport
NTAA	Faa'a International Airport
NTAR	Rurutu Airport
NTAT	Tubuai Airport
NTGA	Anaa Airport
NTGB	Fangatau Airport
NTGC	Tikehau Airport
NTGE	Reao Airport
NTGF	Fakarava Airport
NTGI	Manihi Airport
NTGJ	Totegegie Airport
NTGK	Kaukura Airport
NTGM	Makemo Airport
NTGP	Puka Puka Airport
NTGT	Takapoto Airport
NTGU	Arutua Airport
NTGV	Mataiva Airport
NTHE	Ahe Airport
NTKR	Takaroa Airport
NTMD	Nuku Hiva Airport
NTMN	Hiva Oa-Atuona Airport
NTTB	Bora Bora Airport
NTTG	Rangiroa Airport
NTTH	Huahine-Fare Airport
NTTM	Moorea Airport
NTTO	Hao Airport
NTTP	Maupiti Airport
NTTR	Raiatea Airport
NVSQ	Gaua Island Airport
NVSS	Santo Pekoa International Airport
NVVV	Bauerfield International Airport
NVVW	Tanna Airport
NWWA	Tiga Airport
NWWC	ÃŽle Art - Waala Airport
NWWD	KonÃ© Airport
NWWE	ÃŽle des Pins Airport
NWWK	Koumac Airport
NWWL	Lifou Airport
NWWM	NoumÃ©a Magenta Airport
NWWR	MarÃ© Airport
NWWU	Touho Airport
NWWV	OuvÃ©a Airport
NWWW	La Tontouta International Airport
NZAA	Auckland International Airport
NZAP	Taupo Airport
NZAR	Ardmore Airport
NZCH	Christchurch International Airport
NZCI	Chatham Islands-Tuuta Airport
NZDN	Dunedin Airport
NZGS	Gisborne Airport
NZGT	Glentanner Airport
NZHK	Hokitika Airfield
NZHN	Hamilton International Airport
NZIR	McMurdo Station Ice Runway
NZKK	Kerikeri Airport
NZKT	Kaitaia Airport
NZLX	Alexandra Airport
NZMC	Mount Cook Airport
NZMO	Manapouri Airport
NZMS	Hood Airport
NZNP	New Plymouth Airport
NZNR	Hawke's Bay Airport
NZNS	Nelson Airport
NZNV	Invercargill Airport
NZOH	RNZAF Base Ohakea
NZOU	Oamaru Airport
NZPG	McMurdo Station Pegasus Field
NZPM	Palmerston North Airport
NZPP	Paraparaumu Airport
NZQN	Queenstown International Airport
NZRO	Rotorua Regional Airport
NZSP	South Pole Station Airport
NZTG	Tauranga Airport
NZTU	Timaru Airport
NZUK	Pukaki Airport
NZWB	Woodbourne Airport
NZWD	Williams Field
NZWF	Wanaka Airport
NZWK	Whakatane Airport
NZWN	Wellington International Airport
NZWO	Wairoa Airport
NZWP	RNZAF Base Auckland-Whenuapai
NZWR	Whangarei Airport
NZWS	Westport Airport
NZWU	Wanganui Airport
OAHR	Herat Airport
OAIX	Bagram Air Base
OAJL	Jalalabad Airport
OAKB	Hamid Karzai International Airport
OAKN	Kandahar Airport
OAMN	Maimana Airport
OAMS	Mazar I Sharif Airport
OAUZ	Konduz Airport
OBBI	Bahrain International Airport
OBBS	Sheik Isa Air Base
OEAB	Abha Regional Airport
OEAH	Al Ahsa Airport
OEBA	Al Baha Airport
OEBH	Bisha Airport
OEDF	King Fahd International Airport
OEDM	King Salman Abdulaziz Airport
OEDR	King Abdulaziz Air Base
OEGN	Jizan Regional Airport
OEGS	Gassim Airport
OEGT	Gurayat Domestic Airport
OEHL	Ha'il Airport
OEJB	Jubail Airport
OEJF	King Faisal Naval Base
OEJN	King Abdulaziz International Airport
OEKK	King Khaled Military City Airport
OEKM	King Khaled Air Base
OEMA	Prince Mohammad Bin Abdulaziz Airport
OENG	Nejran Airport
OEPA	Al Qaisumah/Hafr Al Batin Airport
OEPS	Prince Sultan Air Base
OERF	Rafha Domestic Airport
OERK	King Khaled International Airport
OERM	Ras Mishab Airport
OERR	Arar Domestic Airport
OERT	Ras Tanura Airport
OERY	Riyadh Air Base
OESH	Sharurah Airport
OESK	Al-Jawf Domestic Airport
OETB	Tabuk Airport
OETF	Taâ€™if Regional Airport
OETN	Ras Tanajib Airport
OETR	Turaif Domestic Airport
OEWD	Wadi Al Dawasir Airport
OEWJ	Al Wajh Domestic Airport
OEYN	Prince Abdulmohsin Bin Abdulaziz Airport
OIAA	Abadan Airport
OIAG	Aghajari Airport
OIAH	Gachsaran Airport
OIAI	Shahid Asyaee Airport
OIAM	Mahshahr Airport
OIAW	Ahwaz Airport
OIBA	Abu Musa Island Airport
OIBB	Bushehr Airport
OIBJ	Jam Airport
OIBK	Kish International Airport
OIBL	Bandar Lengeh Airport
OIBP	Persian Gulf International Airport
OIBQ	Khark Island Airport
OIBS	Sirri Island Airport
OIBV	Lavan Island Airport
OICC	Shahid Ashrafi Esfahani Airport
OICI	Ilam Airport
OICK	Khoram Abad Airport
OICS	Sanandaj Airport
OIFK	Kashan Airport
OIFM	Esfahan Shahid Beheshti International Airport
OIFP	Badr Air Base
OIFS	Shahrekord Airport
OIGG	Sardar-e-Jangal Airport
OIHH	Hamadan Airport
OIHS	Hamadan Air Base
OIIE	Imam Khomeini International Airport
OIIG	Ghale Morghi Airport
OIII	Mehrabad International Airport
OIIK	Qazvin Airport
OIIM	Naja Airport
OIIP	Payam International Airport
OIKB	Bandar Abbas International Airport
OIKJ	Jiroft Airport
OIKK	Kerman Airport
OIKM	Bam Airport
OIKQ	Dayrestan Airport
OIKR	Rafsanjan Airport
OIKY	Sirjan Airport
OIMB	Birjand Airport
OIMC	Sarakhs Airport
OIMM	Mashhad International Airport
OIMN	Bojnord Airport
OIMS	Sabzevar National Airport
OIMT	Tabas Airport
OING	Gorgan Airport
OINN	Noshahr Airport
OINR	Ramsar Airport
OINZ	Dasht-e Naz Airport
OISF	Fasa Airport
OISL	Lar Airport
OISS	Shiraz Shahid Dastghaib International Airport
OISY	Yasouj Airport
OITL	Ardabil Airport
OITR	Urmia Airport
OITT	Tabriz International Airport
OITZ	Zanjan Airport
OIYY	Shahid Sadooghi Airport
OIZB	Zabol Airport
OIZC	Konarak Airport
OIZH	Zahedan International Airport
OIZI	Iran Shahr Airport
OJ40	Muwaffaq Salti Air Base
OJAI	Queen Alia International Airport
OJAM	Amman-Marka International Airport
OJAQ	Aqaba King Hussein International Airport
OKAJ	Ahmed Al Jaber Air Base
OKAS	Ali Al Salem Air Base
OKBK	Kuwait International Airport
OLBA	Beirut Rafic Hariri International Airport
OLKA	Rene Mouawad Air Base
OLRA	Rayak Air Base
OM-0003	Duqm International Airport
OM-0004	Rustaq Airport
OMAA	Abu Dhabi International Airport
OMAD	Bateen Airport
OMAL	Al Ain International Airport
OMAM	Al Dhafra Air Base
OMBY	Sir Bani Yas Airport
OMDB	Dubai International Airport
OMDM	Al Minhad Air Base
OMDW	Al Maktoum International Airport
OMFJ	Fujairah International Airport
OMRK	Ras Al Khaimah International Airport
OMSJ	Sharjah International Airport
OOKB	Khasab Air Base
OOMA	Masirah Air Base
OOMS	Muscat International Airport
OOSA	Salalah Airport
OOTH	Thumrait Air Base
OP12	Bandari Air Base
OPBW	Bahawalpur Airport
OPCH	Chitral Airport
OPDG	Dera Ghazi Khan Airport
OPDI	Dera Ismael Khan Airport
OPFA	Faisalabad International Airport
OPGD	Gwadar International Airport
OPGT	Gilgit Airport
OPJA	Shahbaz Air Base
OPKC	Jinnah International Airport
OPLA	Alama Iqbal International Airport
OPLH	Walton Airport
OPMA	Mangla Airport
OPMF	Muzaffarabad Airport
OPMI	Mianwali Air Base
OPMJ	Moenjodaro Airport
OPMR	Masroor Air Base
OPMS	Minhas Air Base
OPMT	Multan International Airport
OPNH	Shaheed Benazirabad Airport
OPPG	Panjgur Airport
OPPI	Pasni Airport
OPPS	Peshawar International Airport
OPQT	Quetta International Airport
OPRK	Shaikh Zaid Airport
OPRN	Benazir Bhutto International Airport
OPRQ	Rafiqui Air Base
OPRS	Risalpur Air Base
OPRT	Rawalakot Airport
OPSD	Skardu Airport
OPSF	Faisal Air Base
OPSK	Sukkur Airport
OPSN	Sehwan Sharif Airport
OPSR	Mushaf Air Base
OPSS	Saidu Sharif Airport
OPST	Sialkot Airport
OPSU	Sui Airport
OPTU	Turbat International Airport
OPZB	Zhob Airport
ORAA	Al Asad Air Base
ORAT	Al Taqaddum Air Base
ORBD	Joint Base Balad
ORBI	Baghdad International Airport
ORBM	Mosul International Airport
ORER	Erbil International Airport
ORKK	Kirkuk Air Base
ORMM	Basrah International Airport
ORQW	Qayyarah West Airport
ORSH	Al Sahra Army Air Field
ORSU	Sulaymaniyah International Airport
ORTF	Tall Afar Army Air Field
ORTI	Al Taji Army Air Field
ORTL	Ali Air Base
ORUB	Ubaydah Bin Al Jarrah Airport
OS57	Abu ad Duhur Air Base
OS64	An Nasiriyah Air Base
OS69	Khalkhalah Air Base
OS70	Al Qusayr Air Base
OSAP	Aleppo International Airport
OSDI	Damascus International Airport
OSDZ	Deir ez-Zor Air Base
OSKL	Kamishly Airport
OSLK	Bassel Al-Assad International Airport
OSPR	Palmyra Airport
OTBD	Doha International Airport
OTBH	Al Udeid Air Base
OY74	Al Anad Air Base
OYAA	Aden International Airport
OYAT	Ataq Airport
OYBN	Beihan Airport
OYGD	Al Ghaidah International Airport
OYHD	Hodeidah International Airport
OYRN	Mukalla International Airport
OYSN	Sana'a International Airport
OYSQ	Socotra International Airport
OYSY	Sayun International Airport
OYTZ	Ta'izz International Airport
PAAQ	Warren "Bud" Woods Palmer Municipal Airport
PABA	Barter Island LRRS Airport
PABE	Bethel Airport
PABI	Allen Army Airfield
PABL	Buckland Airport
PABR	Wiley Post Will Rogers Memorial Airport
PABT	Bettles Airport
PABV	Birchwood Airport
PACD	Cold Bay Airport
PACL	Clear Airport
PACM	Scammon Bay Airport
PACV	Merle K (Mudhole) Smith Airport
PACZ	Cape Romanzof LRRS Airport
PADE	Deering Airport
PADK	Adak Airport
PADL	Dillingham Airport
PADM	Marshall Don Hunter Sr Airport
PADQ	Kodiak Airport
PADU	Unalaska Airport
