5A8	Aleknagik / New Airport
EDDW	Bremen Airport
EDFE	Frankfurt-Egelsbach Airport
EDFH	Frankfurt-Hahn Airport
EDFM	Mannheim-City Airport
EDFZ	Mainz-Finthen Airport
EDGE	Eisenach-Kindel Airport
EDGS	Siegerland Airport
EDHI	Hamburg-Finkenwerder Airport
EDHK	Kiel-Holtenau Airport
EDHL	LÃ¼beck Blankensee Airport
EDJA	Memmingen Allgau Airport
EDLN	MÃ¶nchengladbach Airport
EDLP	Paderborn Lippstadt Airport
EDLV	Weeze Airport
EDLW	Dortmund Airport
EDMA	Augsburg Airport
EDMO	Oberpfaffenhofen Airport
EDNY	Friedrichshafen Airport
EDOP	Schwerin Parchim Airport
EDQA	Airport Bamberg-Breitenau
EDQD	Bayreuth Airport
EDQM	Hof-Plauen Airport
EDSB	Karlsruhe Baden-Baden Airport
EDTD	Donaueschingen-Villingen Airport
EDTL	Lahr Airport
EDTY	Adolf WÃ¼rth Airport
EDUZ	Zerbst Airport
EDVE	Braunschweig-Wolfsburg Airport
EDVK	Kassel-Calden Airport
EDXW	Westerland Sylt Airport
EEEI	Ã„mari Air Base
EEKA	KÃ¤rdla Airport
EEKE	Kuressaare Airport
EEPU	PÃ¤rnu Airport
EETN	Lennart Meri Tallinn Airport
EETU	Tartu Airport
EFET	Enontekio Airport
EFHA	Halli Airport
EFHF	Helsinki Malmi Airport
EFHK	Helsinki Vantaa Airport
EFIT	Kitee Airport
EFIV	Ivalo Airport
EFJO	Joensuu Airport
EFJY	Jyvaskyla Airport
EFKA	Kauhava Airport
EFKE	Kemi-Tornio Airport
EFKI	Kajaani Airport
EFKJ	Kauhajoki Airport
EFKK	Kokkola-Pietarsaari Airport
EFKS	Kuusamo Airport
EFKT	KittilÃ¤ Airport
EFKU	Kuopio Airport
EFLP	Lappeenranta Airport
EFMA	Mariehamn Airport
EFMI	Mikkeli Airport
EFOU	Oulu Airport
EFPO	Pori Airport
EFRO	Rovaniemi Airport
EFSA	Savonlinna Airport
EFSI	SeinÃ¤joki Airport
EFSO	Sodankyla Airport
EFTP	Tampere-Pirkkala Airport
